Chemin vers le fichier CSS	Nom du style	TypeDeContenu	Composant	Niveau de titre	Type standard HTML	Nom de la police de caractère	Taille de la police de caractère	Gras : oui / non	Italique : oui / non	Couleur
app/content-styles.css	.competence.auteur	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)	var(--font-serif)	0.65625rem	non	oui	var(--color-text-default)
app/content-styles.css	.domaineDeCompetence .experiencesToggle:hover	domaineDeCompetence	DomaineDeCompetences	-	-			non	non	rgba(0, 0, 0, 0.04)
app/content-styles.css	.domaineDeCompetence .experiencesToggleIcon	domaineDeCompetence	DomaineDeCompetences	-	-			non	non	var(--BleuFonce)
app/content-styles.css	.experienceEtApprentissage.titre		-	-	Titre	var(--font-sans)	0.5rem	oui	non	var(--color-text-default)
app/content-styles.css	.experienceEtApprentissage		-	-	-	var(--font-serif)	0.46875rem	non	non	var(--color-text-default)
app/content-styles.css	.experienceEtApprentissage.periode		-	-	-			non	oui	
app/content-styles.css	.experienceEtApprentissage.description		-	-	Normal (paragraphe)			non	non	
app/content-styles.css	.domaineDeCompetence.titre	domaineDeCompetence	DomaineDeCompetences	-	Titre		1.5rem	non	non	
app/content-styles.css	.domaineDeCompetence .header	domaineDeCompetence	DomaineDeCompetences	-	-		1rem	non	non	
app/content-styles.css	.competence.titre	domaineDeCompetence	DomaineDeCompetences	-	Titre		1.125rem	oui	non	var(--BleuFonce)
app/content-styles.css	.competence.description	domaineDeCompetence	DomaineDeCompetences	-	Normal (paragraphe)		0.7rem	non	non	
app/content-styles.css	.groupeBoutons.tailleGrande .groupeDeBoutons.texte	groupeDeBoutons	GroupeBoutons	-	Normal (paragraphe)		1.25rem	non	non	
app/content-styles.css	.groupeBoutons.tailleGrande .groupeDeBoutons.texte	groupeDeBoutons	GroupeBoutons	-	Normal (paragraphe)		1.375rem	non	non	
app/content-styles.css	.videoDetournement .detournementVideo.titreVideoDetournee	listeDeDetournementsVideo	VideoDetournement	-	Normal (paragraphe)	var(--font-sans)	1.25rem	oui	non	var(--BleuClair)
app/content-styles.css	.videoDetournement .ui-sectionTitle	listeDeDetournementsVideo	VideoDetournement	-	-	var(--font-sans)	1.125rem	oui	non	var(--BleuFonce)
app/content-styles.css	.videoDetournement .detournementVideo.titreVideoOriginale, .videoDetournement .detournementVideo.pourLeCompteDe	listeDeDetournementsVideo	VideoDetournement	-	Normal (paragraphe)	var(--font-serif)	0.875rem	non	oui	rgba(9, 23, 71, 1)
app/content-styles.css	.videoDetournement .detournementVideo.titreVideoDetournee	listeDeDetournementsVideo	VideoDetournement	-	Normal (paragraphe)		1.5rem	non	non	
app/content-styles.css	.videoDetournement .ui-sectionTitle	listeDeDetournementsVideo	VideoDetournement	-	-		1.25rem	non	non	
app/content-styles.css	.videoDetournement .ui-linkedinButton	listeDeDetournementsVideo	VideoDetournement	-	-	var(--BoutonPolice)	18px	non	non	var(--BoutonCouleurFondHover)
app/content-styles.css	.videoDetournement .ui-linkedinButton:hover	listeDeDetournementsVideo	VideoDetournement	-	-			non	non	var(--BoutonCouleurFond)
app/content-styles.css	.videoDetournement .ui-linkedinButton:active	listeDeDetournementsVideo	VideoDetournement	-	-			non	non	var(--BoutonCouleurFond)
app/content-styles.css	.videoDetournement .ui-alertIcon	listeDeDetournementsVideo	VideoDetournement	-	-			non	non	#dc2626
app/content-styles.css	.videoDetournement .ui-popup	listeDeDetournementsVideo	VideoDetournement	-	-			non	non	#ffffff
